year,country,min_temp,max_temp,min_prec,max_prec
2025,São Tomé and Príncipe,23.17,29.07,1313.53,1811.81
2025,Tajikistan,-26.28,24.58,562.42,872.21
2025,Tanzania,14.4,33.48,949.72,1370.45
2025,Thailand,14.34,37.81,1367.37,1935.65
2025,The Bahamas,16.98,30.55,765.06,1165.77
2025,The Gambia,16.4,41.0,617.78,1017.76
2025,Timor-Leste,18.79,31.11,1276.9,2080.96
2025,Togo,18.23,38.04,1213.87,1601.09
2025,Tokelau (N.Z.),25.18,29.69,1939.13,3287.15
2025,Tonga,20.67,28.68,1281.43,2260.4
2025,Trinidad and Tobago,22.72,30.67,1117.57,1639.68
2025,Tunisia,2.97,42.92,128.7,266.2
2025,Turkmenistan,-10.91,43.94,120.24,241.32
2025,Turks and Caicos Islands (U.K.),22.01,29.63,624.16,1032.35
2025,Tuvalu,25.23,29.81,1962.79,3767.19
2025,Türkiye,-11.19,35.25,557.01,860.99
2025,U.S. Minor Outlying Islands,21.37,28.69,701.68,1538.31
2025,Uganda,16.57,33.17,1551.55,2062.48
2025,Ukraine,-16.93,34.46,545.74,817.32
2025,United Arab Emirates,9.88,45.77,14.89,110.49
2025,United Kingdom,-3.49,24.75,883.73,1163.73
2025,United States Virgin Islands (U.S.),23.5,29.36,713.4,1216.91
2025,United States of America,-18.96,34.61,661.88,984.88
2025,Uruguay,-0.11,36.04,979.5,1538.13
2025,Uzbekistan,-16.04,41.67,183.76,335.85
2025,Vanuatu,20.78,29.18,1599.52,2785.0
2025,Vatican City,-2.33,35.3,657.9,1117.31
2025,Vietnam,11.82,34.73,1653.05,2404.78
2025,Wallis and Futuna (Fr.),24.53,29.51,2300.59,3322.0
2025,West Bank and Gaza,3.95,38.57,226.17,431.51
2025,Zambia,9.85,36.48,930.63,1244.02
2025,Zimbabwe,6.59,37.77,529.62,854.01
2026,Afghanistan,-14.12,36.76,236.8,481.14
2026,Albania,-7.28,32.9,976.2,1544.28
2026,Algeria,2.05,45.31,40.54,102.84
2026,American Samoa (U.S.),24.33,29.42,2023.51,2849.33
2026,Andorra,-13.49,26.49,829.28,1193.22
2026,Angola,10.92,35.27,946.43,1275.94
2026,Anguilla (U.K.),23.2,29.17,617.14,1141.87
2026,Antigua and Barbuda,23.37,29.17,630.38,1106.21
2026,Arab Republic of Egypt,4.54,42.91,5.75,34.1
2026,Argentina,-4.07,35.31,602.41,981.08
2026,Armenia,-17.48,30.07,719.47,1007.05
2026,Aruba (Neth.),24.8,29.67,465.63,851.89
2026,Australia,5.03,41.89,288.68,632.26
2026,Austria,-15.05,29.9,1038.97,1444.77
2026,Azerbaijan,-9.62,35.53,511.17,744.07
2026,Bahrain,12.7,37.87,24.58,123.85
2026,Bangladesh,10.83,37.15,1810.22,2802.42
2026,Barbados,24.17,29.17,856.38,1254.54
2026,Belarus,-19.54,32.57,628.55,891.0
2026,Belgium,-7.06,31.48,755.09,1046.8
2026,Belize,16.3,35.16,1235.45,1930.25
2026,Benin,17.65,39.8,999.15,1340.86
2026,Bermuda (U.K.),12.84,28.68,1190.01,1599.71
2026,Bhutan,-6.99,22.27,2784.85,3777.2
2026,Bolivia,5.8,33.9,1224.3,1652.22
2026,"Bonaire, Sint Eustatius and Saba",24.72,29.58,594.4,1019.23
2026,Bosnia and Herzegovina,-12.21,32.84,946.76,1461.25
2026,Botswana,2.74,39.45,303.45,548.72
2026,Bouvet Island (Nor.),-9.78,4.9,916.75,1066.92
2026,Brazil,15.62,36.84,1412.86,2026.38
2026,British Indian Ocean Territory (U.K.),24.62,29.38,1951.9,2804.33
2026,British Virgin Islands (U.K.),23.27,29.32,686.4,1171.72
2026,Brunei Darussalam,21.81,33.09,2760.3,3592.58
2026,Bulgaria,-10.97,34.31,603.8,938.98
2026,Burkina Faso,15.0,42.38,576.65,846.55
2026,Burundi,14.08,29.63,1866.98,2381.14
2026,Cabo Verde,18.88,28.36,86.6,255.23
2026,Cambodia,17.22,37.85,1516.55,2052.29
2026,Cameroon,16.42,36.19,1670.79,2064.6
2026,Canada,-35.91,26.64,575.03,784.04
2026,Cayman Islands (U.K.),22.18,30.38,818.6,1353.17
2026,Central African Republic,16.38,38.96,1341.15,1670.86
2026,Chad,9.88,43.19,282.24,460.45
2026,Chile,-4.14,23.72,1200.22,1668.49
2026,China,-19.28,30.79,692.0,1006.2
2026,China,6.28,29.86,2257.27,3471.0
2026,Christmas Island (Aus.),24.38,29.38,900.44,1660.69
2026,Cocos (Keeling) Islands (Aus.),24.05,28.96,1011.61,1909.4
2026,Colombia,18.36,32.9,3018.87,3784.28
2026,Comoros,20.96,29.27,1009.39,1522.49
2026,Congo,18.2,34.25,1517.96,1881.77
2026,Cook Islands (N.Z.),20.77,28.56,1279.23,2159.54
2026,Costa Rica,18.02,30.3,2658.95,4044.63
2026,Croatia,-8.55,34.16,858.94,1338.77
2026,Cuba,15.53,33.71,803.53,1202.51
2026,Curaçao (Neth.),24.78,29.68,627.97,1076.82
2026,Cyprus,3.63,35.12,271.88,486.61
2026,Czech Republic,-12.87,32.65,665.39,951.81
2026,Côte d'Ivoire,17.78,36.99,1200.13,1532.72
2026,D. P. R. of Korea,-21.28,30.66,980.49,1501.56
2026,Democratic Republic of Congo,17.28,34.55,1685.26,2066.49
2026,Denmark,-6.15,26.58,687.42,915.98
2026,Djibouti,17.52,41.41,180.25,378.57
2026,Dominica,23.2,28.57,841.06,1321.0
2026,Dominican Republic,17.17,31.68,835.18,1338.47
2026,Ecuador,14.68,28.91,2709.09,3411.76
2026,El Salvador,16.61,35.29,1160.16,1889.37
2026,Equatorial Guinea,19.44,31.78,2771.68,3329.69
2026,Eritrea,15.55,39.85,277.57,556.45
2026,Estonia,-17.0,28.67,628.41,884.39
2026,Eswatini,5.07,36.13,669.26,1037.29
2026,Ethiopia,13.95,35.05,903.16,1315.92
2026,Faroe Islands (Den.),-2.22,13.87,998.2,1311.01
2026,Federated States of Micronesia,25.26,29.45,2633.11,3789.68
2026,Fiji,17.95,29.98,1667.44,2845.74
2026,Finland,-8.49,23.03,544.77,724.74
2026,Finland,-24.27,28.2,619.96,827.08
2026,France,-6.71,32.78,797.01,1134.36
2026,France,22.74,29.1,759.57,1208.88
2026,France,20.72,35.31,1394.57,2202.88
2026,France,22.18,29.5,796.26,1237.72
2026,France,23.54,29.51,830.97,1236.76
2026,France,13.28,26.88,1222.56,2112.86
2026,French Polynesia (Fr.),22.82,28.63,998.66,1703.0
2026,French Southern and Antarctic Lands (Fr.),-4.61,11.46,1630.31,1864.2
2026,Gabon,18.61,33.32,1906.02,2328.12
2026,Georgia,-14.35,30.67,1103.78,1504.01
2026,Germany,-10.19,32.49,755.4,1037.95
2026,Ghana,19.34,38.0,1038.0,1369.29
2026,Gibraltar (U.K.),9.0,29.76,456.93,982.62
2026,Greece,-3.45,34.08,589.46,956.83
2026,Greenland (Den.),-41.23,2.95,347.87,573.72
2026,Grenada,24.4,29.28,958.83,1431.61
2026,Guam (U.S.),25.04,29.5,1601.98,2474.11
2026,Guatemala,12.87,34.24,1515.83,2211.42
2026,Guernsey (U.K.),2.45,21.54,778.72,1083.0
2026,Guinea,16.01,38.54,1602.64,2082.4
2026,Guinea-Bissau,17.41,39.9,1140.89,1687.84
2026,Guyana,20.23,34.24,1366.22,2116.54
2026,Haiti,18.54,32.05,740.1,1197.83
2026,Heard Island and McDonald Islands (Aus.),-4.24,7.0,1127.44,1271.04
2026,Honduras,15.28,33.99,1274.2,2012.53
2026,"Hong Kong, SAR",6.76,33.11,1476.47,2159.1
2026,Hungary,-10.63,36.14,545.34,838.55
2026,Iceland,-14.78,15.52,1225.99,1605.93
2026,India,7.94,40.53,914.53,1599.54
2026,Indonesia,20.38,32.11,2598.77,3612.47
2026,Iraq,-0.29,47.7,126.64,319.64
2026,Ireland,-2.02,23.79,937.35,1209.98
2026,Islamic Republic of Iran,-5.83,41.25,180.95,397.69
2026,Isle of Man (U.K.),1.7,19.54,940.9,1222.21
2026,Israel,4.21,38.51,146.17,283.79
2026,Italy,-4.5,32.22,790.92,1221.88
2026,Jamaica,18.79,31.72,892.59,1401.25
2026,Japan,-6.85,30.98,1511.6,2058.83
2026,Jersey (U.K.),1.49,23.08,858.7,1192.98
2026,Jordan,-0.52,41.11,46.9,111.44
2026,Kazakhstan,-27.15,38.19,277.87,433.61
2026,Kenya,17.78,35.55,584.72,982.19
2026,Kiribati,24.61,29.18,569.29,2331.38
2026,Kosovo,-12.18,34.5,640.35,986.9
2026,Kuwait,3.64,48.93,57.35,230.85
2026,Kyrgyz Republic,-25.31,23.78,744.53,1091.68
2026,Lao People's Democratic Republic,8.89,35.28,1671.19,2328.3
2026,Latvia,-17.2,30.13,651.79,908.16
2026,Lebanon,-2.31,33.73,403.59,704.63
2026,Lesotho,-8.19,29.3,928.5,1251.56
2026,Liberia,19.53,33.62,2045.71,2648.89
2026,Libya,2.41,43.77,11.74,37.83
2026,Liechtenstein,-16.91,27.96,1681.43,2223.24
2026,Lithuania,-16.9,31.05,656.83,913.14
2026,Luxembourg,-9.0,32.08,779.73,1071.8
2026,"Macau, SAR",7.34,33.09,1491.97,2212.25
2026,Madagascar,12.21,33.4,1135.21,1659.79
2026,Malawi,12.19,34.06,1145.5,1555.7
2026,Malaysia,20.44,33.15,2461.2,3292.86
2026,Maldives,24.93,29.97,1530.19,2274.96
2026,Mali,10.52,45.18,232.62,394.55
2026,Malta,10.3,29.68,289.83,585.35
2026,Marshall Islands,25.15,29.35,1972.16,3011.52
2026,Mauritania,9.49,46.05,41.27,137.26
2026,Mauritius,17.85,29.04,776.56,1290.12
2026,Mexico,4.27,36.58,643.3,991.22
2026,Moldova,-14.14,35.11,493.54,791.41
2026,Monaco,1.99,28.01,633.26,1032.86
2026,Mongolia,-32.21,33.27,229.81,358.0
2026,Montenegro,-11.15,31.06,1248.34,1985.64
2026,Montserrat (U.K.),23.49,29.15,613.38,1029.42
2026,Morocco,1.81,39.54,189.52,404.34
2026,Mozambique,12.81,37.6,687.32,1051.69
2026,Myanmar,10.02,36.62,2047.66,2796.99
2026,Namibia,3.82,37.76,217.8,409.66
2026,Nauru,25.21,29.73,764.23,3448.6
2026,Nepal,-6.04,27.73,1707.7,2625.59
2026,Netherlands,-6.03,30.3,716.52,980.42
2026,New Caledonia (Fr.),13.85,29.91,994.59,1976.68
2026,New Zealand,-1.93,23.39,1359.33,1796.17
2026,Nicaragua,19.15,34.07,1320.66,2086.67
2026,Niger,7.72,44.16,77.18,187.98
2026,Nigeria,16.17,40.17,1010.99,1356.49
2026,Niue (N.Z.),21.39,28.95,1291.42,2359.35
2026,Norfolk Island (Aus.),15.09,25.09,709.65,1233.99
2026,North Macedonia,-11.22,35.07,568.43,886.27
2026,Northern Mariana Islands (U.S.),24.38,29.67,1403.5,2158.42
2026,Norway,-19.96,24.17,1119.12,1525.21
2026,Oman,10.65,44.81,14.53,112.01
2026,Pakistan,-1.43,41.48,307.74,598.28
2026,Palau,25.18,29.52,2488.96,3372.83
2026,Panama,20.99,31.36,2748.27,3708.19
2026,Papua New Guinea,18.71,30.33,3241.43,4339.37
2026,Paraguay,4.48,40.69,1051.07,1612.59
2026,Peru,10.66,28.5,1853.94,2308.33
2026,Philippines,20.48,32.33,2058.76,2996.52
2026,Pitcairn Islands (U.K.),18.23,27.06,926.81,1544.5
2026,Poland,-13.64,32.61,625.4,915.14
2026,Portugal,0.57,35.25,547.32,1052.69
2026,Puerto Rico (U.S.),19.37,30.86,815.26,1341.69
2026,Qatar,9.97,44.38,22.58,121.94
2026,R. B. de Venezuela,19.81,34.89,1786.85,2499.57
2026,Republic of Korea,-11.19,32.72,1030.77,1567.54
2026,Republic of Yemen,9.09,39.82,109.53,265.31
2026,Romania,-13.41,33.99,666.92,1018.78
2026,Russian Federation,-38.25,29.68,518.7,731.5
2026,Rwanda,13.28,28.18,1524.53,1900.03
2026,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",14.18,23.69,603.27,788.08
2026,Saint Kitts and Nevis,23.36,29.14,607.33,1088.83
2026,Saint Lucia,21.71,30.51,732.02,1106.76
2026,Saint Vincent and the Grenadines,24.21,29.19,873.61,1329.72
2026,Saint-Barthélemy (Fr.),23.26,29.2,607.89,1127.67
2026,Saint-Martin (Fr.),23.27,29.19,612.73,1128.96
2026,Saint-Pierre-et-Miquelon (Fr.),-9.3,20.39,1335.75,1717.44
2026,Samoa,22.65,28.7,2159.22,3027.41
2026,San Marino,-1.32,33.71,645.65,1034.49
2026,Saudi Arabia,4.16,45.32,30.04,129.85
2026,Senegal,15.65,43.44,424.2,742.66
2026,Serbia,-11.89,35.84,607.7,935.47
2026,Seychelles,24.02,29.55,1095.86,1614.7
2026,Sierra Leone,19.35,36.56,2305.67,2975.46
2026,Singapore,23.92,31.11,1814.11,2647.21
2026,Sint Maarten (Neth.),23.26,29.18,612.78,1128.52
2026,Slovak Republic,-13.72,32.83,674.19,1008.67
2026,Slovenia,-10.84,31.93,1029.03,1606.91
2026,Solomon Islands,23.37,29.78,3036.96,4127.89
2026,Somalia,18.47,36.97,220.34,471.53
2026,South Africa,-0.41,36.79,410.65,654.3
2026,South Sudan,18.61,40.93,1060.04,1416.1
2026,Spain,-2.95,35.32,505.16,845.91
2026,Sri Lanka,19.79,34.43,1398.57,2092.63
2026,Sudan,10.11,43.16,195.51,340.98
2026,Suriname,20.71,35.81,1202.1,1982.12
2026,Svalbard and Jan Mayen (Nor.),-30.33,6.23,471.51,717.53
2026,Sweden,-20.39,27.14,684.98,911.08
2026,Switzerland,-16.05,27.22,1409.39,1863.5
2026,Syrian Arab Republic,-1.92,42.58,157.51,310.08
2026,São Tomé and Príncipe,23.19,29.1,1311.38,1812.71
2026,Tajikistan,-26.18,24.59,562.37,872.96
2026,Tanzania,14.41,33.5,954.09,1377.89
2026,Thailand,14.37,37.86,1367.4,1934.14
2026,The Bahamas,17.1,30.58,763.9,1167.29
2026,The Gambia,16.42,41.02,611.1,1022.37
2026,Timor-Leste,18.79,31.12,1277.24,2074.19
2026,Togo,18.26,38.08,1211.33,1598.67
2026,Tokelau (N.Z.),25.2,29.7,1958.64,3298.83
2026,Tonga,20.7,28.69,1278.7,2251.15
2026,Trinidad and Tobago,22.73,30.7,1109.34,1640.31
2026,Tunisia,2.97,42.95,129.99,268.3
2026,Turkmenistan,-10.83,44.01,120.15,241.25
2026,Turks and Caicos Islands (U.K.),22.03,29.67,619.89,1036.57
2026,Tuvalu,25.24,29.83,1980.55,3769.38
2026,Türkiye,-11.15,35.29,558.3,865.42
2026,U.S. Minor Outlying Islands,21.4,28.7,697.67,1522.76
2026,Uganda,16.59,33.21,1561.42,2067.05
2026,Ukraine,-16.83,34.45,547.16,819.31
2026,United Arab Emirates,9.9,45.82,14.68,107.9
2026,United Kingdom,-3.44,24.73,884.49,1163.17
2026,United States Virgin Islands (U.S.),23.49,29.39,718.58,1217.24
2026,United States of America,-18.98,34.65,661.27,986.23
2026,Uruguay,-0.05,36.03,978.21,1539.82
2026,Uzbekistan,-15.96,41.73,183.22,336.41
2026,Vanuatu,20.79,29.2,1595.62,2775.22
2026,Vatican City,-2.34,35.31,657.4,1114.52
2026,Vietnam,11.85,34.77,1663.29,2411.86
2026,Wallis and Futuna (Fr.),24.54,29.52,2295.53,3319.84
2026,West Bank and Gaza,3.97,38.59,228.39,433.26
2026,Zambia,9.9,36.52,928.28,1244.91
2026,Zimbabwe,6.65,37.79,525.9,853.97
2027,Afghanistan,-14.09,36.79,237.12,478.85
2027,Albania,-7.29,32.9,970.6,1543.27
2027,Algeria,2.07,45.35,41.11,103.32
2027,American Samoa (U.S.),24.34,29.44,2027.9,2862.92
2027,Andorra,-13.42,26.47,817.04,1190.74
2027,Angola,10.97,35.29,942.36,1277.54
